objectKey,publicUrl,category,meaning
"books/previews/book-1/page-25.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-25.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-26.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-26.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-27.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-27.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-28.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-28.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-29.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-29.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-30.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-30.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-31.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-31.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-32.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-32.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-33.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-33.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-34.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-34.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-35.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-35.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-36.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-36.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-37.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-37.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-38.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-38.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
